ITEM,NOMBRE
CSIM199,SERV ARRIENDO BODEGAS X IMP EXCLUIDAS
CSIM198,SERV ARRIENDO BODEGAS X IMP GRAVADAS
CSIM196,HON ANALISIS CALIDAD-MTRAS PRE/COMP EXC
CSIM195,HON ANALISIS CALIDAD-MTRAS PRE/COMP GRA
CSIM194,OTROS COSTOS EN ORIGEN IMP EXC SIN IVA
CSIM193,FORMUL INGR Y SALIDA ZF IMP EXCL SIN IVA
CSIM192,ALQUILER DE ESTIBAS IMP EXC IVA 19%
CSIM191,ALQUILER DE ESTIBAS IMP EXC SIN IVA
CSIM190,DRAFT SURVEY IMP EXCLUIDA SIN IVA
CSIM189,DRAFT SURVEY IMP GRAVADA SIN IVA
CSIM188,ALQUILER DE ESTIBAS IMP GRAV IVA 19%
CSIM187,ALQUILER DE ESTIBAS IMP GRAV SIN IVA
CSIM186,FORMULAR INGR Y SALIDA ZF IMP GRAV SIN I
CSIM185,IVA IMPORT ACT FIJO MAYOR VR 19%
CSIM184,IVA IMPORT MAQ Y EQU ACT FIJOS BASE 19%
CSIM183,IVA IMPORTACIONES DESCONTABLE 19%
CSIM182,IVA IMPORTACIONES DESCONTABLE 5%
CSIM179,CARGUE AL CAMION ALMAC IMP EXCL SIN IVA
CSIM178,CARGUE AL CAMION ALMACEN IMP GRAV SIN IV
CSIM177,PESAJE EN DEPOSITO IMP EXCL SIN IVA
CSIM176,PESAJE EN DEPOSITO IMP GRAV SIN IVA
CSIM175,DESCARGUE DE CONTENEDOR IMP EXCL SIN IVA
CSIM174,DESCARGUE DE CONTENEDOR IMP GRAV SIN IVA
CSIM173,CERTIFICACION DE FLETE IMP GRAV SIN IVA
CSIM172,DRAFT SURVEY IMP EXCLUIDA IVA 19%
CSIM171,DRAFT SURVEY IMP GRAVADA IVA 19%
CSIM170,DESCARGUE BARCAZAS IMP EXCLUIDA SIN IVA
CSIM169,DESCARGUE BARCAZAS IMP GAVADA SIN IVA
CSIM168,OTROS COSTOS EN ORIGEN  IMP GRAV SIN IVA
CSIM167,SERVICIO INTEGRAL IMP GRAVADA SIN IVA
CSIM166,URBANEO IMP EXCLUIDAS SIN IVA
CSIM165,URBANEO IMP EXCLUIDAS IVA 19%
CSIM164,URBANEO IMP GRAVADA SIN IVA
CSIM163,SER BODEGAJE ADITIVOS IMP GRAV
CSIM162,SER BODEGAJE ADITIVOS IMP EXC
CSIM161,VALOR SEGURO INTERNAL IMP GRAV SIN IVA
CSIM160,OTROS COSTOS ALMACENAD IMP GRAVADA SIN I
CSIM157,CARGUE AL CAMION PTO IMP EXCLUIDAS IVA19
CSIM156,DESCARGUE DIRECTO IMP EXCLUIDAS SIN IVA
CSIM155,DESCARGUE EN ALMACEN IMP EXCL SIN IVA
CSIM154,OPERADOR PORTUARIO IMP EXCLUIDA SIN IVA
CSIM153,CARGUE AL CAMION PTO IMP GRAVADA IVA 19%
CSIM152,DESCARGUE DIRECTO IMP GRAVADA SIN IVA
CSIM151,DESCARGUE EN ALMACEN IMP GRAVADA SIN IVA
CSIM150,OPERADOR PORTUARIO IMP GRAVADA SIN IVA
CSIM149,TRASL  Y DEV DE CONTEN IMP GRAV IVA 19%
CSIM148,PREINSPECCI…N IMP GRAVADA SIN IVA
