CODIGO,PRODUCTO,REGISTRO ICA,FORMA FARMACEUTICA
EPT-0001,ANAPIRAN,5906-DB,SOLUCI‡N INYECTABLE
EPT-0002,AURODIARREGAN,3494-DB,POLVO ORAL
EPT-0003,AUROCHAMPU - P,6343-MV,CHAMPÈ
EPT-0004,AUROUNGUENTO,3439-DB,UNGÈENTO
EPT-0005,AUROFARVIT INYECTABLE,4946-DB,SOLUCI‡N INYECTABLE
EPT-0006,AUROFARVIT ORAL,4919-DB,SOLUCI‡N ORAL
EPT-0007,AUROMECK INYECTABLE,5304-DB,SOLUCI‡N INYECTABLE
EPT-0008,AUROTEL,4474-DB,SUSPENSI‡N ORAL
EPT-0009,AUROVITEL,4551-DB,POLVO ORAL
EPT-0010,AUROZOLE 25 Co,6631-MV,SUSPENSI‡N ORAL
EPT-0011,AVICUR POLVO,4638-DB,POLVO ORAL
EPT-0012,BOLDEBIG 50,6009-MV,SOLUCI‡N INYECTABLE
EPT-0013,BRILLAPEL,5701-SL,POLVO ORAL
EPT-0014,CABACTINA GEL ORAL,6757-MV,GEL ORAL
EPT-0015,CABATEL,2332-MV,SUSPENSI‡N ORAL
EPT-0016,CIPERMETRINA 15 EC,6671-MV,EMULSI‡N CONCENTRADA
EPT-0017,COCCIDIOL  ,2646-DB,POLVO ORAL
EPT-0018,CREO-TAY,2262-DB,EMULSI‡N CONCENTRADA
EPT-0019,ERIPANTO,2347-DB,POLVO ORAL
EPT-0020,ERIPANTO INYECTABLE,4797-DB,SOLUCI‡N INYECTABLE
EPT-0021,ERIPANTO SECADO,3804-DB,SUSPENSI‡N INTRAMAMARIA
EPT-0022,PENIDEXINA,6292-MV,POLVO PARA RECONSTITUIR
EPT-0023,AUROPPUPY,2538-DB,SUSPENSI‡N ORAL
EPT-0024,PORCIX,2539-DB,POLVO ORAL
EPT-0025,PULPHOX,6199-MV,POLVO T‡PICO
EPT-0026,Q -ALBENDACO 30,8160-MV,SUSPENSI‡N ORAL
EPT-0027,QB-COMPLEX,8164-MV,SOLUCI‡N INYECTABLE
EPT-0028,Q-FOS 25,8135-MV,POLVO ORAL
EPT-0029,Q-IVERMEC 3.5,8008-MV,SOLUCI‡N INYECTABLE
EPT-0030,Q-NORFLOXAN,7933-MV,SOLUCI‡N ORAL
EPT-0031,Q-OXY 200 LA,8107-MV,SOLUCI‡N INYECTABLE
EPT-0032,Q-TARTILO 100,7934-MV,POLVO ORAL
EPT-0033,Q-TYCON,6654-MV,CREMA T‡PICA
EPT-0034,Q-ZERMEC,8012-MV,SOLUCI‡N INYECTABLE
EPT-0035,RAFOXANIDE,3678-DB,SUSPENSI‡N ORAL
EPT-0036,SULFACOCCIDIOL,3106-DB,POLVO ORAL
EPT-0037,SULFATROPHIN SUSP.INYECTABLE,5320-DB,SOLUCI‡N INYECTABLE
EPT-0038,SULFATROPHIN SUSP. ORAL,5630-DB,SUSPENSI‡N ORAL
EPT-0039,VANOVET,2497-DB,T‡PICO DESINFECTANTE
EPT-0040,MELOXIDOL,7872-MV,SOLUCI‡N INYECTABLE
EPT-0041,AUROCEF,7849-MV,POLVO PARA RECONSTITUIR
EPT-0042,AUROLISTINA 10%,10408-MV,POLVO ORAL
EPT-0043,AUROQUINOL 60,16115-SL,POLVO ORAL / SUPLEM. ALIMENT.
EPT-0044,GLH 20,10423-MV,SOLUCI‡N DESINFECTANTE
EPT-0045,BRILLAPEL EMULSION,16010-SL,EMULSI‡N ORAL
EPT-0046,AUROQUINOL 24,11363-SL,POLVO ORAL / SUPLEM. ALIMENT.
EPT-0047,AUROTILMICOSIN,10424-MV,SOLUCI‡N ORAL
EPT-0048,AURODIARREGAN NF,10476-MV,POLVO ORAL
EPT-0049,FLORMIX,10453-MV,SOLUCI‡N ORAL
EPT-0050,BRIO ENERGY,16583-SL,SOLUCI‡N ORAL
EPT-0051,HEPAXYN,16055-SL,POLVO ORAL
EPT-0052,AUROLITOS,16582-SL,POLVO ORAL
EPT-0053,CABATEL NF,10488-MV,SUSPENSI‡N ORAL
EPT-0054,AUROFRESH CHAMPU,10506 MV,CHAMPÈ
EPT-0055,AUROPETS JABON,10524-MV,JABON 
EPT-0056,NICARCOX,10674-MV,POLVO ORAL
EPT-0057,CIPROFARM,10661-MV,POLVO ORAL
EPT-0058,FERRYDECK,11013-MV,SOLUCI‡N INYECTABLE
EPT-0059,DOXYCOL,10756 MV,POLVO ORAL
,,,
